Wijken,2012,2013,2014,2015,2016,2017,2018,2019,2020
West,33.7,34.6,38.3,39,40.8,41.4,43.3,45.9,47.6
Noordwest,28.4,29.1,32,32.6,33.9,34.8,36.4,38.9,41.1
Overvecht,25.6,25.6,27.6,28.2,29.1,29.7,30.7,32.4,34
Noordoost,39.7,40.4,44.9,45.8,47.3,47.8,49.2,51.9,52.8
Oost,38.9,39.6,44.4,43.2,44.9,45.6,47.2,50.6,50.7
Binnenstad,33.8,35,39.5,41.1,41.8,41.9,41.7,44.8,46.2
Zuid,31.8,32.3,35.3,36.1,37.2,37.5,38.7,40.6,42.3
Zuidwest,30.1,30.6,33.4,33.7,35,35.6,36.9,38.8,41
Leidsche Rijn,41.1,42.2,47.5,48,50,51.6,52.3,55.1,57
Vleuten-De Meern,42.2,43.2,49.4,49.3,51.8,53.6,55.3,60.2,60.9